avg_sentence_length,lexical_density,flesch_index,syntactic_depth,accuracy
355.0,0.28,-325.02,18.68,1
194.0,0.66,-183.12,24.25,1
341.0,0.36,-336.94,22.73,1
335.0,0.33,-306.86,27.92,1
1848.0,0.12,-1856.28,40.17,1
1961.0,0.15,-1983.26,51.61,1
3039.0,0.08,-3090.77,17.37,1
17522.0,0.07,-17770.98,35.4,1
451.0,0.28,-431.78,18.79,1
765.0,0.22,-760.65,23.18,1
289.0,0.52,-273.71,28.9,0
234.0,0.6,-240.67,39.0,0
438.0,0.16,-452.82,48.67,1
5799.0,0.13,-5882.96,25.32,1
2712.0,0.21,-2753.87,34.77,1
1163.0,0.36,-1174.72,25.84,1
1613.0,0.17,-1624.8,34.32,1
2950.0,0.27,-3007.79,47.58,0
629.0,0.24,-598.07,78.62,1
957.0,0.31,-962.71,35.44,1
5159.0,0.08,-5224.75,28.35,1
553.0,0.19,-525.87,42.54,1
257.0,0.54,-235.21,14.28,1
1244.0,0.13,-1268.65,69.11,1
3848.0,0.1,-3864.85,51.31,1
213.0,0.51,-176.68,71.0,1
92.0,0.64,-41.33,46.0,1
3321.0,0.09,-3342.08,29.65,1
12476.0,0.1,-12664.95,47.98,1
585.0,0.19,-566.49,41.79,1
540.0,0.41,-528.31,22.5,1
502.0,0.44,-502.7,20.92,1
344.0,0.43,-309.37,86.0,1
1477.0,0.36,-1508.01,24.21,1
1598.0,0.22,-1611.42,40.97,1
424.0,0.36,-407.19,16.31,1
2527.0,0.14,-2586.07,21.6,1
262.0,0.52,-247.32,37.43,1
1269.0,0.26,-1271.73,28.2,1
1395.0,0.17,-1401.67,37.7,1
64882.0,0.04,-65864.48,24.24,1
4329.0,0.08,-4334.7,28.29,1
9325.0,0.09,-9477.05,43.37,0
3032.0,0.15,-3068.58,42.11,1
1677.0,0.27,-1701.22,18.23,1
671.0,0.45,-683.89,27.96,1
347.0,0.51,-331.57,26.69,1
1127.0,0.34,-1152.32,40.25,0
2714.0,0.13,-2751.48,26.1,1
1624.0,0.12,-1624.83,62.46,1
1583.0,0.23,-1606.69,83.32,1
119.0,0.67,-80.96,29.75,1
1186.0,0.21,-1180.65,21.96,1
322.0,0.43,-296.33,35.78,1
546.0,0.28,-533.43,32.12,1
402.0,0.35,-388.37,100.5,1
457.0,0.27,-412.73,35.15,1
946.0,0.35,-939.94,49.79,0
1394.0,0.27,-1385.95,63.36,1
787.0,0.4,-780.12,31.48,1
130.0,0.62,-63.38,43.33,1
204.0,0.48,-140.28,14.57,1
4224.0,0.15,-4275.92,50.89,1
847.0,0.33,-837.2,26.47,0
9222.0,0.04,-9303.86,27.04,1
1014.0,0.11,-1020.66,10.56,1
8601.0,0.1,-8724.59,33.86,1
2922.0,0.25,-2967.58,36.52,1
3318.0,0.18,-3339.95,38.58,1
168.0,0.62,-120.6,84.0,1
295.0,0.45,-257.64,18.44,1
254.0,0.58,-240.13,36.29,1
10298.0,0.07,-10451.33,45.17,1
6326.0,0.1,-6429.61,33.47,1
612.0,0.32,-603.34,68.0,1
428.0,0.22,-451.64,85.6,1
1900.0,0.19,-1895.66,57.58,1
49311.0,0.04,-50059.11,37.05,1
10017.0,0.13,-10169.94,47.03,1
2134.0,0.11,-2161.38,30.93,1
520.0,0.48,-525.61,28.89,1
619.0,0.2,-607.15,26.91,1
318.0,0.52,-300.6,21.2,1
229.0,0.62,-234.08,20.82,1
677.0,0.39,-676.75,42.31,1
370.0,0.28,-349.88,12.76,1
233.0,0.41,-213.14,16.64,1
1249.0,0.27,-1251.63,17.59,1
886.0,0.28,-882.2,34.08,1
365.0,0.32,-312.4,26.07,1
3178.0,0.06,-3200.85,37.83,1
117.0,0.74,-97.69,29.25,1
143.0,0.64,-121.12,14.3,0
432.0,0.43,-424.25,36.0,1
2884.0,0.29,-2927.5,31.01,1
1333.0,0.38,-1354.53,14.81,1
6154.0,0.14,-6248.53,39.45,1
304.0,0.44,-288.48,27.64,1
155.0,0.52,-147.55,51.67,0
218.0,0.55,-188.2,36.33,1
1402.0,0.19,-1400.42,37.89,1
804.0,0.35,-812.29,33.5,1
274.0,0.45,-267.33,34.25,1
3747.0,0.15,-3801.96,42.1,1
2678.0,0.19,-2733.5,15.3,0
99.0,0.7,-55.89,49.5,1
150.0,0.39,-86.71,30.0,1
596.0,0.23,-590.17,28.38,1
675.0,0.42,-678.94,22.5,1
576.0,0.44,-567.13,26.18,1
61.0,0.74,-8.63,12.2,1
336.0,0.39,-309.24,15.27,1
123.0,0.59,-78.22,41.0,1
996.0,0.36,-991.19,36.89,1
1028.0,0.24,-1068.71,23.36,1
7614.0,0.05,-7691.22,76.91,1
16336.0,0.07,-16585.23,55.0,0
3264.0,0.2,-3313.86,33.65,1
361.0,0.4,-316.54,40.11,1
129.0,0.61,-77.53,21.5,1
1559.0,0.25,-1587.4,39.97,1
213.0,0.49,-204.48,19.36,1
1074.0,0.4,-1087.28,39.78,1
297.0,0.18,-217.83,99.0,1
479.0,0.32,-446.47,21.77,1
742.0,0.34,-736.43,30.92,1
417.0,0.25,-369.79,26.06,1
694.0,0.47,-684.99,25.7,1
630.0,0.47,-623.73,27.39,0
820.0,0.24,-827.36,16.73,1
216.0,0.44,-177.2,54.0,1
1640.0,0.32,-1653.37,51.25,0
276.0,0.57,-284.49,27.6,1
3120.0,0.23,-3162.11,24.38,1
455.0,0.49,-443.92,25.28,1
376.0,0.32,-365.68,23.5,1
570.0,0.39,-574.31,25.91,1
74.0,0.72,-19.48,14.8,1
413.0,0.34,-405.72,37.55,1
147.0,0.36,-107.55,16.33,1
778.0,0.28,-745.05,23.58,1
210.0,0.6,-162.12,30.0,1
539.0,0.37,-505.28,29.94,1
119.0,0.48,-47.55,23.8,1
838.0,0.33,-841.0,27.93,1
1748.0,0.3,-1780.35,24.62,1
1252.0,0.37,-1278.25,25.04,1
312.0,0.54,-290.46,34.67,1
124.0,0.72,-91.25,41.33,1
1621.0,0.32,-1654.87,52.29,0
119.0,0.61,-74.56,29.75,1
157.0,0.45,-81.34,17.44,1
30084.0,0.05,-30523.76,48.92,1
71.0,0.58,-10.3,14.2,1
302.0,0.29,-267.51,20.13,1
138.0,0.56,-131.55,19.71,1
1325.0,0.33,-1337.33,66.25,1
109.0,0.68,-63.6,15.57,1
444.0,0.45,-439.81,29.6,1
546.0,0.39,-547.53,26.0,1
360.0,0.44,-356.97,30.0,1
127.0,0.57,-60.59,25.4,1
19521.0,0.05,-19825.15,39.36,0
490.0,0.39,-492.82,37.69,1
725.0,0.39,-712.37,31.52,1
163.0,0.44,-91.0,32.6,1
121.0,0.45,-48.07,20.17,1
125.0,0.52,-52.65,25.0,1
77.0,0.62,-30.38,19.25,1
1603.0,0.37,-1629.53,37.28,1
365.0,0.33,-340.44,28.08,1
1596.0,0.31,-1598.98,30.69,1
562.0,0.25,-535.05,35.12,1
899.0,0.23,-867.29,32.11,0
2131.0,0.09,-2141.73,92.65,1
243.0,0.43,-249.17,34.71,1
244.0,0.49,-223.5,48.8,1
388.0,0.46,-381.12,32.33,1
1018.0,0.24,-1019.29,22.62,1
1455.0,0.13,-1437.31,45.47,1
10301.0,0.1,-10454.74,48.14,1
10223.0,0.07,-10368.4,42.24,1
2628.0,0.12,-2650.49,101.08,1
6091.0,0.13,-6179.64,42.01,1
908.0,0.29,-911.12,47.79,1
380.0,0.38,-363.95,25.33,1
8815.0,0.09,-8934.37,31.59,1
859.0,0.38,-866.41,31.81,1
348.0,0.37,-337.03,38.67,1
90.0,0.58,-20.17,45.0,0
186.0,0.46,-148.73,31.0,1
2527.0,0.13,-2545.26,74.32,1
238.0,0.35,-205.3,47.6,1
3009.0,0.13,-3039.33,46.29,1
178.0,0.69,-149.51,89.0,1
512.0,0.45,-505.48,24.38,0
125.0,0.68,-91.23,20.83,1
163.0,0.75,-130.96,23.29,1
251.0,0.56,-244.9,31.38,1
549.0,0.29,-530.61,30.5,1
211.0,0.32,-168.61,19.18,1
728.0,0.34,-737.61,36.4,1
907.0,0.32,-903.18,28.34,1
407.0,0.33,-412.46,22.61,1
4677.0,0.13,-4734.74,34.9,1
280.0,0.51,-248.68,31.11,1
1709.0,0.21,-1718.17,23.74,1
1657.0,0.29,-1693.81,41.42,1
974.0,0.38,-993.31,30.44,1
1977.0,0.14,-1998.4,22.21,1
5764.0,0.1,-5837.08,43.01,1
927.0,0.24,-936.65,17.83,1
542.0,0.45,-530.9,30.11,1
4116.0,0.11,-4188.13,37.42,1
1162.0,0.21,-1153.38,22.78,1
400.0,0.39,-372.05,36.36,1
4522.0,0.15,-4577.83,32.53,1
204.0,0.53,-183.41,40.8,1
503.0,0.4,-520.72,62.88,1
510.0,0.28,-486.95,17.0,1
211.0,0.57,-171.02,19.18,1
551.0,0.41,-541.05,39.36,1
84.0,0.68,-37.85,42.0,1
325.0,0.54,-312.97,19.12,0
912.0,0.17,-848.55,22.8,1
296.0,0.48,-292.26,59.2,1
2613.0,0.14,-2648.55,42.15,0
813.0,0.42,-806.43,20.32,1
188.0,0.54,-150.33,15.67,1
87.0,0.66,-45.62,12.43,1
1425.0,0.12,-1434.36,43.18,1
6318.0,0.17,-6426.79,32.4,1
303.0,0.53,-280.96,50.5,1
260.0,0.48,-242.18,18.57,1
4789.0,0.09,-4856.95,28.01,1
797.0,0.37,-786.96,31.88,1
3108.0,0.22,-3142.6,42.58,1
1684.0,0.21,-1681.27,58.07,1
683.0,0.36,-689.04,32.52,0
713.0,0.31,-707.54,25.46,1
116.0,0.63,-84.05,12.89,1
631.0,0.33,-596.63,30.05,1
943.0,0.27,-942.82,58.94,1
419.0,0.44,-417.73,19.05,1
3663.0,0.16,-3710.74,36.63,1
455.0,0.31,-419.0,35.0,1
2063.0,0.18,-2076.6,25.47,1
2778.0,0.25,-2824.67,38.05,1
118.0,0.53,-62.36,13.11,1
271.0,0.52,-249.75,67.75,0
7511.0,0.16,-7611.41,37.93,1
9053.0,0.07,-9192.38,42.3,1
766.0,0.39,-765.45,30.64,1
735.0,0.4,-733.49,19.86,1
435.0,0.36,-445.13,43.5,0
1098.0,0.2,-1099.63,30.5,1
586.0,0.48,-578.39,18.31,1
1492.0,0.32,-1507.78,51.45,1
308.0,0.36,-293.14,38.5,0
2284.0,0.16,-2320.22,38.71,1
150.0,0.63,-114.91,50.0,1
2265.0,0.22,-2292.96,27.96,1
485.0,0.5,-469.85,32.33,0
1131.0,0.25,-1123.16,35.34,1
466.0,0.29,-446.55,21.18,0
2801.0,0.29,-2842.0,35.01,0
102.0,0.64,-57.07,14.57,1
131.0,0.41,-68.83,11.91,1
402.0,0.26,-352.81,21.16,1
1007.0,0.32,-999.85,24.56,1
3014.0,0.17,-3046.13,41.86,1
6432.0,0.15,-6511.72,37.84,1
1142.0,0.27,-1164.91,36.84,0
643.0,0.23,-620.24,26.79,1
717.0,0.17,-740.15,44.81,1
159.0,0.71,-116.87,39.75,1
4289.0,0.18,-4342.82,29.38,1
808.0,0.32,-802.89,38.48,1
167.0,0.48,-126.34,23.86,1
2116.0,0.17,-2126.64,44.08,1
88.0,0.62,-29.87,14.67,0
835.0,0.19,-826.55,75.91,1
110.0,0.66,-82.77,18.33,0
437.0,0.4,-414.64,39.73,1
1499.0,0.35,-1544.85,36.56,1
2476.0,0.21,-2495.59,38.69,1
131.0,0.46,-72.06,21.83,1
272.0,0.31,-265.49,14.32,0
1416.0,0.26,-1445.43,52.44,1
925.0,0.28,-919.24,21.51,1
1295.0,0.39,-1322.0,20.89,0
5767.0,0.28,-5867.48,34.74,0
1198.0,0.24,-1201.73,29.22,1
259.0,0.46,-222.12,15.24,1
1081.0,0.34,-1108.13,38.61,0
533.0,0.41,-521.99,15.68,1
3259.0,0.16,-3309.24,47.23,0
82.0,0.7,-35.58,41.0,1
531.0,0.31,-512.7,37.93,0
461.0,0.31,-433.24,38.42,1
2206.0,0.27,-2243.98,51.3,1
3115.0,0.17,-3146.81,29.67,1
581.0,0.36,-561.63,41.5,1
139.0,0.52,-101.01,27.8,1
1357.0,0.32,-1375.52,28.27,1
2338.0,0.12,-2351.08,29.59,0
1356.0,0.26,-1361.84,21.87,1
301.0,0.46,-293.62,30.1,0
3583.0,0.08,-3631.42,30.36,1
