avg_sentence_length,lexical_density,flesch_index,syntactic_depth
850.0,0.1411764705882353,-808.2,44.73684210526316
5235.0,0.15740210124164278,-5275.9,44.743589743589745
355.0,0.2140845070422535,-314.24,35.5
101.0,0.6534653465346535,-39.51,50.5
290.0,0.33793103448275863,-265.18,96.66666666666667
6400.0,0.0865625,-6483.75,48.1203007518797
774.0,0.44315245478036175,-764.9,26.689655172413794
200.0,0.585,-156.91,25.0
9617.0,0.0739315794946449,-9757.47,37.275193798449614
1402.0,0.1340941512125535,-1385.4,127.45454545454545
138.0,0.7028985507246377,-93.98,13.8
2844.0,0.11462728551336146,-2865.95,36.935064935064936
1445.0,0.2698961937716263,-1437.51,45.15625
838.0,0.2494033412887828,-829.86,76.18181818181819
2075.0,0.13349397590361445,-2102.34,33.46774193548387
148.0,0.6283783783783784,-121.05,29.6
5734.0,0.100976630624346,-5807.76,85.58208955223881
294.0,0.3401360544217687,-260.78,26.727272727272727
5249.0,0.2017527148028196,-5315.49,19.958174904942965
2654.0,0.11115297663903542,-2656.18,44.233333333333334
743.0,0.1857335127860027,-716.52,20.08108108108108
3600.0,0.2619444444444444,-3641.75,40.90909090909091
846.0,0.35697399527186763,-821.06,44.526315789473685
743.0,0.4508748317631225,-733.44,30.958333333333332
5119.0,0.1195546005079117,-5175.08,33.24025974025974
882.0,0.24829931972789115,-866.06,36.75
2199.0,0.153706230104593,-2211.28,30.971830985915492
416.0,0.23076923076923078,-393.07,37.81818181818182
418.0,0.5023923444976076,-395.1,32.15384615384615
963.0,0.21391484942886813,-956.74,37.03846153846154
2766.0,0.2172812725958062,-2744.48,15.627118644067796
1496.0,0.3322192513368984,-1497.73,41.55555555555556
1636.0,0.1069682151589242,-1614.45,46.74285714285714
6252.0,0.22744721689059502,-6341.99,59.542857142857144
227.0,0.44933920704845814,-175.86,75.66666666666667
103.0,0.5922330097087378,-58.46,17.166666666666668
345.0,0.4927536231884058,-329.47,31.363636363636363
256.0,0.640625,-222.21,64.0
245.0,0.5387755102040817,-219.51,49.0
1112.0,0.3426258992805755,-1099.51,26.476190476190474
389.0,0.532133676092545,-365.67,48.625
557.0,0.2926391382405745,-544.65,34.8125
1725.0,0.12289855072463768,-1738.63,49.285714285714285
3900.0,0.12205128205128205,-3946.25,47.5609756097561
576.0,0.2621527777777778,-547.01,41.142857142857146
1497.0,0.30995323981295925,-1490.29,42.77142857142857
6920.0,0.0708092485549133,-6994.63,49.78417266187051
109.0,0.6880733944954128,-64.55,13.625
153.0,0.5620915032679739,-100.75,21.857142857142858
4857.0,0.10644430718550546,-4917.61,27.134078212290504
740.0,0.3472972972972973,-721.93,33.63636363636363
844.0,0.35071090047393366,-835.95,27.225806451612904
5295.0,0.2117091595845137,-5362.18,42.023809523809526
922.0,0.2885032537960954,-889.74,36.88
424.0,0.5754716981132075,-409.65,32.61538461538461
